product_code,product_name,group_code,group_name,line_name,color,forecast_qty_q2,forecast_revenue_q2,forecast_qty_conservative,forecast_qty_optimistic,avg_unit_price,is_new_sku,missing_master_flag,rank_qty,rank_revenue,reason
000225002023000,Xe đạp Thống Nhất New 26 Kem,CITYBIKE_P,Xe phổ thông,Xe New 26,Kem,3218.1875,5140289221.12041,2574.55,3861.825,1597262.1921875,0,0,1,1,"Sản lượng dự báo thuộc nhóm cao, đóng góp doanh thu tốt."
000224002023000,Xe đạp Thống Nhất New 24 Kem,CITYBIKE_P,Xe phổ thông,Xe New 24,Kem,2273.5053000000003,3333223885.319856,1818.8042400000002,2728.20636,1466116.6109090906,0,0,2,3,"Sản lượng dự báo thuộc nhóm cao, đóng góp doanh thu tốt."
000230002023000,Xe đạp Thống Nhất LD 26 Kem,CITYBIKE_P,Xe phổ thông,Xe LD 26,Kem,2105.6243999999997,3664497775.7325306,1684.4995199999998,2526.7492799999995,1740337.818906606,1,0,3,2,"Sản lượng dự báo thuộc nhóm cao, đóng góp doanh thu tốt, sku mới có tín hiệu bán trong năm 2026."
000125002009000,Xe đạp Thống Nhất Puppy 20 Hồng,KIDBIKE_1,Xe trẻ em nhóm 1,Xe Puppy 20,Hồng,1837.2661999999998,2347589740.391814,1469.81296,2204.71944,1277762.4387755103,0,0,4,9,"Sản lượng dự báo thuộc nhóm cao, đóng góp doanh thu tốt."
000226003023000,Xe đạp Thống Nhất LD 24-01_2023 Kem,CITYBIKE_P,Xe phổ thông,Xe LD 24-01_2023,Kem,1770.5523,2879387195.0369954,1416.4418400000002,2124.66276,1626264.9767741936,0,0,5,4,"Sản lượng dự báo thuộc nhóm cao, đóng góp doanh thu tốt."
000225002015000,Xe đạp Thống Nhất New 26 Café/nâu,CITYBIKE_P,Xe phổ thông,Xe New 26,Nâu,1675.4661,2667705055.8947735,1340.3728800000001,2010.5593199999998,1592216.6708683474,0,0,6,5,"Sản lượng dự báo thuộc nhóm cao, đóng góp doanh thu tốt."
000217003001000,Xe đạp Thống Nhất GN 06-26 2.0 Đen,CITYBIKE_P,Xe phổ thông,Xe GN 06-26 2.0,Đen,1643.1613,2653645124.9195743,1314.52904,1971.79356,1614963.2570579492,0,0,7,6,"Sản lượng dự báo thuộc nhóm cao, đóng góp doanh thu tốt."
000225002002000,Xe đạp Thống Nhất New 26 Trắng,CITYBIKE_P,Xe phổ thông,Xe New 26,Trắng,1490.8475999999998,2498306023.346799,1192.67808,1789.0171199999997,1675762.1794117645,0,0,8,7,"Sản lượng dự báo thuộc nhóm cao, đóng góp doanh thu tốt."
000230002013000,Xe đạp Thống Nhất LD 26 Pastel Xanh,Unknown,Unknown,Unknown,Xanh Pastel,1371.5657999999999,2387882310.245121,1097.2526400000002,1645.87896,1740989.9767441861,1,1,9,8,"Sản lượng dự báo thuộc nhóm cao, đóng góp doanh thu tốt, sku mới có tín hiệu bán trong năm 2026, cần rà soát thêm master data."
000217003008000,Xe đạp Thống Nhất GN 06-26 2.0 Ghi,CITYBIKE_P,Xe phổ thông,Xe GN 06-26 2.0,Ghi,1295.3775999999998,2019799394.3075385,1036.30208,1554.4531200000001,1559236.0052447552,0,0,10,11,"Sản lượng dự báo thuộc nhóm cao, đóng góp doanh thu tốt."
000230002009000,Xe đạp Thống Nhất LD 26 Pastel Hồng,Unknown,Unknown,Unknown,Hồng Pastel,1173.9915,2043132268.7243128,939.1932,1408.7898,1740329.6946564885,1,1,11,10,"Sản lượng dự báo thuộc nhóm cao, đóng góp doanh thu tốt, sku mới có tín hiệu bán trong năm 2026, cần rà soát thêm master data."
000131002001002,Xe đạp Thống Nhất GN 06 20 2024 Đen,KIDBIKE_1,Xe trẻ em nhóm 1,Xe GN 06 20 2024,Đen,1071.3032,1250281586.8062205,857.0425600000001,1285.56384,1167066.0433070867,0,0,12,22,"Sản lượng dự báo thuộc nhóm cao, đóng góp doanh thu tốt."
000225002025000,Xe đạp Thống Nhất New 26 Xanh mint,CITYBIKE_P,Xe phổ thông,Xe New 26,Xanh Mint,1030.0191,1608655061.649416,824.01528,1236.0229199999999,1561772.0697115387,0,0,13,13,"Sản lượng dự báo thuộc nhóm cao, đóng góp doanh thu tốt."
000331002001000,Xe đạp Thống Nhất MTB 26-02 đen,Unknown,Unknown,Unknown,Đen,964.9464,1702326871.860223,771.95712,1157.93568,1764167.2862453528,1,1,14,12,"Sản lượng dự báo thuộc nhóm cao, đóng góp doanh thu tốt, sku mới có tín hiệu bán trong năm 2026, cần rà soát thêm master data."
000224002015000,Xe đạp Thống Nhất New 24 Café/nâu,CITYBIKE_P,Xe phổ thông,Xe New 24,Nâu,921.7329,1382055910.98787,737.38632,1106.0794799999999,1499410.415954416,0,0,15,14,"Sản lượng dự báo thuộc nhóm cao, đóng góp doanh thu tốt."
000336002001000,Xe đạp Thống Nhất SK 20 đen,Unknown,Unknown,Unknown,Đen,912.0144,1242863164.8183568,729.61152,1094.4172800000001,1362767.0405405406,1,1,16,23,"Sản lượng dự báo thuộc nhóm cao, đóng góp doanh thu tốt, sku mới có tín hiệu bán trong năm 2026, cần rà soát thêm master data."
000401002016000,"Xe đạp Thống Nhất Nữ Truyền thống Lốp đỏ, Ngọc",CITYBIKE_P,Xe phổ thông,Xe Nữ,Xanh Ngọc,894.1118999999999,1370852455.03638,715.2895199999999,1072.93428,1533200.100609756,0,0,17,15,"Sản lượng dự báo thuộc nhóm cao, đóng góp doanh thu tốt."
000125002023000,Xe đạp Thống Nhất Puppy 20 Kem,KIDBIKE_1,Xe trẻ em nhóm 1,Xe Puppy 20,Kem,879.2399,1067468705.6799184,703.39192,1055.08788,1214081.282798834,0,0,18,30,"Sản lượng dự báo thuộc nhóm cao, đóng góp doanh thu tốt."
000224002002000,Xe đạp Thống Nhất New 24 Trắng,CITYBIKE_P,Xe phổ thông,Xe New 24,Trắng,867.7867000000001,1274145499.0900793,694.22936,1041.34404,1468270.37,0,0,19,19,"Sản lượng dự báo thuộc nhóm cao, đóng góp doanh thu tốt."
000224002026000,Xe đạp Thống Nhất New 24 Xanh mint,CITYBIKE_P,Xe phổ thông,Xe New 24,Xanh Mint,861.7191,1270425561.2119546,689.37528,1034.0629199999998,1474291.9835616436,0,0,20,20,"Sản lượng dự báo thuộc nhóm cao, đóng góp doanh thu tốt."
